rho	mt	ms	pve	alpha	power
25	25	0	0.2	1e-05	0.005
25	25	0	0.3	0.05	0.375
25	25	0	0.3	0.001	0.065
25	25	0	0.3	1e-05	0
25	25	0	0.4	0.05	0.435
25	25	0	0.4	0.001	0.12
25	25	0	0.4	1e-05	0.005
25	25	0	0.5	0.05	0.54
25	25	0	0.5	0.001	0.125
25	25	0	0.5	1e-05	0.03
25	25	0	0.6	0.05	0.64
25	25	0	0.6	0.001	0.145
25	25	0	0.6	1e-05	0.005
25	25	0	0.7	0.05	0.655
25	25	0	0.7	0.001	0.21
25	25	0	0.7	1e-05	0.035
25	25	0	0.8	0.05	0.79
25	25	0	0.8	0.001	0.265
25	25	0	0.8	1e-05	0.04
25	25	0	0.9	0.05	0.845
25	25	0	0.9	0.001	0.34
25	25	0	0.9	1e-05	0.055
25	25	0	1	0.05	0.88
25	25	0	1	0.001	0.44
25	25	0	1	1e-05	0.085
50	25	0	0.1	0.05	0.16
50	25	0	0.1	0.001	0
50	25	0	0.1	1e-05	0
50	25	0	0.2	0.05	0.215
50	25	0	0.2	0.001	0.02
50	25	0	0.2	1e-05	0.005
50	25	0	0.3	0.05	0.325
50	25	0	0.3	0.001	0.065
50	25	0	0.3	1e-05	0.005
50	25	0	0.4	0.05	0.57
50	25	0	0.4	0.001	0.11
50	25	0	0.4	1e-05	0.005
50	25	0	0.5	0.05	0.53
50	25	0	0.5	0.001	0.19
50	25	0	0.5	1e-05	0.005
50	25	0	0.6	0.05	0.68
50	25	0	0.6	0.001	0.2
50	25	0	0.6	1e-05	0.04
50	25	0	0.7	0.05	0.745
50	25	0	0.7	0.001	0.245
50	25	0	0.7	1e-05	0.035
50	25	0	0.8	0.05	0.785
50	25	0	0.8	0.001	0.32
50	25	0	0.8	1e-05	0.07
50	25	0	0.9	0.05	0.81
50	25	0	0.9	0.001	0.325
50	25	0	0.9	1e-05	0.06
50	25	0	1	0.05	0.865
50	25	0	1	0.001	0.42
50	25	0	1	1e-05	0.09
75	25	0	0.1	0.05	0.2
75	25	0	0.1	0.001	0.03
75	25	0	0.1	1e-05	0
75	25	0	0.2	0.05	0.305
75	25	0	0.2	0.001	0.03
75	25	0	0.2	1e-05	0
75	25	0	0.3	0.05	0.4
75	25	0	0.3	0.001	0.08
75	25	0	0.3	1e-05	0.005
75	25	0	0.4	0.05	0.495
75	25	0	0.4	0.001	0.125
75	25	0	0.4	1e-05	0.01
75	25	0	0.5	0.05	0.635
75	25	0	0.5	0.001	0.145
75	25	0	0.5	1e-05	0.02
75	25	0	0.6	0.05	0.735
75	25	0	0.6	0.001	0.275
75	25	0	0.6	1e-05	0.04
75	25	0	0.7	0.05	0.765
75	25	0	0.7	0.001	0.265
75	25	0	0.7	1e-05	0.045
75	25	0	0.8	0.05	0.825
75	25	0	0.8	0.001	0.375
75	25	0	0.8	1e-05	0.08
75	25	0	0.9	0.05	0.85
75	25	0	0.9	0.001	0.4
75	25	0	0.9	1e-05	0.09
75	25	0	1	0.05	0.88
75	25	0	1	0.001	0.46
75	25	0	1	1e-05	0.13
0	25	25	0.1	0.05	0.26
0	25	25	0.1	0.001	0.01
0	25	25	0.1	1e-05	0
0	25	25	0.2	0.05	0.41
0	25	25	0.2	0.001	0.06
0	25	25	0.2	1e-05	0
0	25	25	0.3	0.05	0.485
0	25	25	0.3	0.001	0.1
0	25	25	0.3	1e-05	0.015
0	25	25	0.4	0.05	0.645
0	25	25	0.4	0.001	0.175
0	25	25	0.4	1e-05	0.035
0	25	25	0.5	0.05	0.76
0	25	25	0.5	0.001	0.31
0	25	25	0.5	1e-05	0.055
0	25	25	0.6	0.05	0.85
0	25	25	0.6	0.001	0.385
0	25	25	0.6	1e-05	0.055
0	25	25	0.7	0.05	0.855
0	25	25	0.7	0.001	0.39
0	25	25	0.7	1e-05	0.105
0	25	25	0.8	0.05	0.91
0	25	25	0.8	0.001	0.525
0	25	25	0.8	1e-05	0.155
0	25	25	0.9	0.05	0.945
0	25	25	0.9	0.001	0.67
0	25	25	0.9	1e-05	0.26
0	25	25	1	0.05	0.945
0	25	25	1	0.001	0.62
0	25	25	1	1e-05	0.29
25	25	25	0.1	0.05	0.2
25	25	25	0.1	0.001	0.01
25	25	25	0.1	1e-05	0
25	25	25	0.2	0.05	0.315
25	25	25	0.2	0.001	0.02
25	25	25	0.2	1e-05	0
25	25	25	0.3	0.05	0.545
25	25	25	0.3	0.001	0.145
25	25	25	0.3	1e-05	0.01
25	25	25	0.4	0.05	0.63
25	25	25	0.4	0.001	0.21
25	25	25	0.4	1e-05	0.025
25	25	25	0.5	0.05	0.73
25	25	25	0.5	0.001	0.215
25	25	25	0.5	1e-05	0.025
25	25	25	0.6	0.05	0.795
25	25	25	0.6	0.001	0.36
25	25	25	0.6	1e-05	0.065
25	25	25	0.7	0.05	0.915
25	25	25	0.7	0.001	0.455
25	25	25	0.7	1e-05	0.145
25	25	25	0.8	0.05	0.93
25	25	25	0.8	0.001	0.53
