rho	mt	ms	pve	alpha	power
25	75	0	0.8	0.05	0.81
25	75	0	0.8	0.001	0.335
25	75	0	0.8	1e-05	0.065
25	75	0	0.9	0.05	0.86
25	75	0	0.9	0.001	0.315
25	75	0	0.9	1e-05	0.04
25	75	0	1	0.05	0.835
25	75	0	1	0.001	0.4
25	75	0	1	1e-05	0.075
50	75	0	0.1	0.05	0.21
50	75	0	0.1	0.001	0
50	75	0	0.1	1e-05	0
50	75	0	0.2	0.05	0.295
50	75	0	0.2	0.001	0.04
50	75	0	0.2	1e-05	0
50	75	0	0.3	0.05	0.445
50	75	0	0.3	0.001	0.08
50	75	0	0.3	1e-05	0.01
50	75	0	0.4	0.05	0.62
50	75	0	0.4	0.001	0.135
50	75	0	0.4	1e-05	0.01
50	75	0	0.5	0.05	0.71
50	75	0	0.5	0.001	0.115
50	75	0	0.5	1e-05	0.01
50	75	0	0.6	0.05	0.705
50	75	0	0.6	0.001	0.225
50	75	0	0.6	1e-05	0.03
50	75	0	0.7	0.05	0.805
50	75	0	0.7	0.001	0.285
50	75	0	0.7	1e-05	0.045
50	75	0	0.8	0.05	0.855
50	75	0	0.8	0.001	0.365
50	75	0	0.8	1e-05	0.105
50	75	0	0.9	0.05	0.875
50	75	0	0.9	0.001	0.44
50	75	0	0.9	1e-05	0.11
50	75	0	1	0.05	0.94
50	75	0	1	0.001	0.56
50	75	0	1	1e-05	0.15
75	75	0	0.1	0.05	0.29
75	75	0	0.1	0.001	0.035
75	75	0	0.1	1e-05	0.005
75	75	0	0.2	0.05	0.39
75	75	0	0.2	0.001	0.07
75	75	0	0.2	1e-05	0
75	75	0	0.3	0.05	0.585
75	75	0	0.3	0.001	0.18
75	75	0	0.3	1e-05	0.02
75	75	0	0.4	0.05	0.705
75	75	0	0.4	0.001	0.245
75	75	0	0.4	1e-05	0.04
75	75	0	0.5	0.05	0.75
75	75	0	0.5	0.001	0.3
75	75	0	0.5	1e-05	0.045
75	75	0	0.6	0.05	0.845
75	75	0	0.6	0.001	0.47
75	75	0	0.6	1e-05	0.105
75	75	0	0.7	0.05	0.9
75	75	0	0.7	0.001	0.515
75	75	0	0.7	1e-05	0.165
75	75	0	0.8	0.05	0.935
75	75	0	0.8	0.001	0.56
75	75	0	0.8	1e-05	0.195
75	75	0	0.9	0.05	0.945
75	75	0	0.9	0.001	0.705
75	75	0	0.9	1e-05	0.345
75	75	0	1	0.05	0.97
75	75	0	1	0.001	0.775
75	75	0	1	1e-05	0.355
