rho	mt	ms	EmpirialRE	ExpectedRE
0.75	0.25	0.5	1.17883442394336	1.1304347826087
0.75	0.25	0.5	1.12340823913623	1.1304347826087
0.75	0.25	0.5	1.18048198671496	1.1304347826087
0.75	0.25	0.5	1.21826858676101	1.1304347826087
0.75	0.25	0.5	1.06581988539426	1.1304347826087
0.75	0.25	0.5	1.11419805173816	1.1304347826087
0.75	0.25	0.5	1.11988800853719	1.1304347826087
0	0.5	0	1.0014343989666	1
0	0.5	0	1.00557187245673	1
0	0.5	0	0.99925446136289	1
0	0.5	0	1.0010393694859	1
0	0.5	0	0.995126847842878	1
0	0.5	0	1.00107737890909	1
0	0.5	0	0.996327517918365	1
0	0.5	0	1.00361625049011	1
0	0.5	0	0.998792317625746	1
0	0.5	0	0.99962101197643	1
0.25	0.5	0	1.09403437512637	1.03225806451613
0.25	0.5	0	1.03966865220088	1.03225806451613
0.25	0.5	0	1.01590202486906	1.03225806451613
0.25	0.5	0	1.00816385978993	1.03225806451613
0.25	0.5	0	1.08398400097593	1.03225806451613
0.25	0.5	0	1.05029620828257	1.03225806451613
0.25	0.5	0	1.06310742362255	1.03225806451613
0.25	0.5	0	1.04861806944351	1.03225806451613
0.25	0.5	0	1.02110030177384	1.03225806451613
0.25	0.5	0	1.05413684631114	1.03225806451613
0.5	0.5	0	1.02169286041021	1.14285714285714
0.5	0.5	0	1.13476200921143	1.14285714285714
0.5	0.5	0	1.12042956510086	1.14285714285714
0.5	0.5	0	1.18513990737039	1.14285714285714
0.5	0.5	0	1.0288375923383	1.14285714285714
0.5	0.5	0	1.11085423375296	1.14285714285714
0.5	0.5	0	1.08082735831699	1.14285714285714
0.5	0.5	0	1.05312974981112	1.14285714285714
0.5	0.5	0	1.08633241988084	1.14285714285714
0.5	0.5	0	1.04675175509447	1.14285714285714
0.75	0.5	0	1.16239569378542	1.39130434782609
0.75	0.5	0	1.61681870489323	1.39130434782609
0.75	0.5	0	1.47724586793915	1.39130434782609
0.75	0.5	0	1.34150807212872	1.39130434782609
0.75	0.5	0	1.34767453345122	1.39130434782609
0.75	0.5	0	1.37191540320431	1.39130434782609
0.75	0.5	0	1.41753531650098	1.39130434782609
0.75	0.5	0	1.53486920055654	1.39130434782609
0.75	0.5	0	1.24092092874573	1.39130434782609
0.75	0.5	0	1.61202886696854	1.39130434782609
0	0.5	0.25	1.00602582021921	1
0	0.5	0.25	1.00355620530676	1
0	0.5	0.25	1.00545708232278	1
0	0.5	0.25	0.995644574144948	1
0	0.5	0.25	1.00146128248696	1
0	0.5	0.25	0.996944052180335	1
0	0.5	0.25	1.00509854975353	1
0	0.5	0.25	1.0018979266224	1
0	0.5	0.25	0.999033744574867	1
0	0.5	0.25	0.997974293809507	1
0.25	0.5	0.25	1.01538806070455	1.02173913043478
0.25	0.5	0.25	1.01774011556737	1.02173913043478
0.25	0.5	0.25	1.05357922120379	1.02173913043478
0.25	0.5	0.25	0.996410003371884	1.02173913043478
0.25	0.5	0.25	1.01293045935667	1.02173913043478
0.25	0.5	0.25	1.03068540261507	1.02173913043478
0.25	0.5	0.25	1.0248322540058	1.02173913043478
0.25	0.5	0.25	1.00633422771858	1.02173913043478
0.25	0.5	0.25	1.03086725274578	1.02173913043478
0.25	0.5	0.25	1.01785083852885	1.02173913043478
0.5	0.5	0.25	1.05704895433304	1.1
0.5	0.5	0.25	1.0970649959049	1.1
0.5	0.5	0.25	1.09552204730504	1.1
0.5	0.5	0.25	1.0964652508139	1.1
0.5	0.5	0.25	1.12174488833633	1.1
0.5	0.5	0.25	1.10181529277052	1.1
0.5	0.5	0.25	1.08149315655187	1.1
0.5	0.5	0.25	1.16306135312668	1.1
0.5	0.5	0.25	1.06468607636906	1.1
0.5	0.5	0.25	1.14149047036345	1.1
0.75	0.5	0.25	1.16389185869214	1.3
0.75	0.5	0.25	1.3107127329728	1.3
0.75	0.5	0.25	1.54695265810725	1.3
0.75	0.5	0.25	1.15386855470495	1.3
0.75	0.5	0.25	1.23781631252659	1.3
0.75	0.5	0.25	1.53236156398272	1.3
0.75	0.5	0.25	1.35955236965514	1.3
0.75	0.5	0.25	1.31444518556498	1.3
0.75	0.5	0.25	1.21658333075093	1.3
0.75	0.5	0.25	1.48156941899774	1.3
0	0.75	0	0.995767585888173	1
0	0.75	0	0.992843630678848	1
0	0.75	0	0.994130386522997	1
0	0.75	0	0.995088754135359	1
0	0.75	0	1.00349500301835	1
0	0.75	0	0.998541537117284	1
0	0.75	0	0.997950492607493	1
0	0.75	0	0.995344965953314	1
0	0.75	0	0.992084935090315	1
0	0.75	0	0.996347399098561	1
0.25	0.75	0	0.985699158786917	1.04918032786885
0.25	0.75	0	1.00256667124051	1.04918032786885
0.25	0.75	0	0.991405932188996	1.04918032786885
0.25	0.75	0	1.03299122864508	1.04918032786885
0.25	0.75	0	1.08865380628134	1.04918032786885
0.25	0.75	0	1.01387063840923	1.04918032786885
0.25	0.75	0	1.01963393828616	1.04918032786885
0.25	0.75	0	1.04358489675976	1.04918032786885
0.25	0.75	0	1.00512732578241	1.04918032786885
0.25	0.75	0	1.04966936039066	1.04918032786885
0.5	0.75	0	1.13177623945958	1.23076923076923
0.5	0.75	0	1.11001449677035	1.23076923076923
0.5	0.75	0	1.23720381176613	1.23076923076923
0.5	0.75	0	1.15735181172013	1.23076923076923
0.5	0.75	0	1.14991120457384	1.23076923076923
0.5	0.75	0	1.18519104435787	1.23076923076923
0.5	0.75	0	1.32005995880534	1.23076923076923
0.5	0.75	0	1.3161458878698	1.23076923076923
0.5	0.75	0	1.15833743154936	1.23076923076923
0.5	0.75	0	1.40140484446059	1.23076923076923
0.75	0.75	0	1.63443225375548	1.72972972972973
0.75	0.75	0	1.55777614945714	1.72972972972973
0.75	0.75	0	1.92437665952532	1.72972972972973
0.75	0.75	0	1.70290418037306	1.72972972972973
0.75	0.75	0	1.74799850715906	1.72972972972973
0.75	0.75	0	1.79049236530292	1.72972972972973
0.75	0.75	0	1.63118235755106	1.72972972972973
0.75	0.75	0	1.62612836609691	1.72972972972973
0.75	0.75	0	1.56791152487884	1.72972972972973
0.75	0.75	0	1.53248499812887	1.72972972972973
