rho	mt	ms	EmpirialRE	ExpectedRE
0	0	0	1	1
0.25	0	0	1	1
0.5	0	0	1	1
0.75	0	0	1	1
0	0.25	0	0.999302479185705	1
0.25	0.25	0	1.03676408477602	1.01587301587302
0.5	0.25	0	1.07517612035546	1.06666666666667
0.75	0.25	0	1.17133622474689	1.16363636363636
0	0.25	0.25	0.999292361395869	1
0.25	0.25	0.25	1.01573876957165	1.01418439716312
0.5	0.25	0.25	1.0507417253081	1.06060606060606
0.75	0.25	0.25	1.1688866353752	1.15384615384615
0	0.25	0.5	0.999318661222226	1
0.25	0.25	0.5	1.00547523856773	1.01075268817204
0.5	0.25	0.5	1.03717622842089	1.04761904761905
0.75	0.25	0.5	1.10723389130128	1.1304347826087
0	0.5	0	1.00035035939854	1
0.25	0.5	0	1.01757829384114	1.03225806451613
0.5	0.5	0	1.13340142005799	1.14285714285714
0.75	0.5	0	1.39334616083145	1.39130434782609
0	0.5	0.25	0.998957298675339	1
0.25	0.5	0.25	1.03240401569926	1.02173913043478
0.5	0.5	0.25	1.12980551696748	1.1
0.75	0.5	0.25	1.32186320822021	1.3
0	0.75	0	0.999205062489196	1
0.25	0.75	0	1.06428595082674	1.04918032786885
0.5	0.75	0	1.26459575252374	1.23076923076923
0.75	0.75	0	1.70102093939299	1.72972972972973
